model,benchmark,language,trigger,n_wait,n_samples,accuracy,scaling,performance,avg_thinking_tokens,extraction_failures,cuda_available,mps_available,run_dir,timestamp_utc
vistral-7b,vnhsge,vi,Để tôi kiểm tra lại,2,100,0.27,-0.115,0.5,243.0,0,True,False,experiments/results/vi_20260716_193403,20260716_193403
vinallama-7b,vnhsge,vi,Khoan đã,0,100,0.39,-0.025,0.39,124.0,0,True,False,experiments/results/vi_20260716_193938,20260716_193938
vinallama-7b,vnhsge,vi,Khoan đã,1,100,0.34,-0.025,0.39,224.0,0,True,False,experiments/results/vi_20260716_193938,20260716_193938
vinallama-7b,vnhsge,vi,Khoan đã,2,100,0.34,-0.025,0.39,252.3,0,True,False,experiments/results/vi_20260716_193938,20260716_193938
vinallama-7b,vnhsge,vi,"Không, chờ đã",0,100,0.39,-0.01,0.39,124.0,0,True,False,experiments/results/vi_20260716_200923,20260716_200923
vinallama-7b,vnhsge,vi,"Không, chờ đã",1,100,0.35,-0.01,0.39,268.5,0,True,False,experiments/results/vi_20260716_200923,20260716_200923
vinallama-7b,vnhsge,vi,"Không, chờ đã",2,100,0.37,-0.01,0.39,325.8,0,True,False,experiments/results/vi_20260716_200923,20260716_200923
vinallama-7b,vimmlu,vi,Để tôi kiểm tra lại,0,100,0.43,-0.07,0.43,169.6,0,True,False,experiments/results/vi_20260716_210939,20260716_210939
vinallama-7b,vimmlu,vi,Để tôi kiểm tra lại,1,100,0.26,-0.07,0.43,286.9,0,True,False,experiments/results/vi_20260716_210939,20260716_210939
vinallama-7b,vimmlu,vi,Để tôi kiểm tra lại,2,100,0.29,-0.07,0.43,325.5,0,True,False,experiments/results/vi_20260716_210939,20260716_210939
vinallama-7b,vnhsge,vi,Để tôi kiểm tra lại,0,100,0.39,-0.04,0.39,124.0,0,True,False,experiments/results/vi_20260716_234220,20260716_234220
vinallama-7b,vnhsge,vi,Để tôi kiểm tra lại,1,100,0.29,-0.04,0.39,287.6,0,True,False,experiments/results/vi_20260716_234220,20260716_234220
vinallama-7b,vnhsge,vi,Để tôi kiểm tra lại,2,100,0.31,-0.04,0.39,339.4,0,True,False,experiments/results/vi_20260716_234220,20260716_234220
vistral-7b,vi_gsm8k,vi,Khoan đã,0,100,0.56,-0.085,0.56,194.5,0,True,False,experiments/results/vi_20260717_111052,20260717_111052
vistral-7b,vi_gsm8k,vi,Khoan đã,1,100,0.41,-0.085,0.56,298.1,0,True,False,experiments/results/vi_20260717_111052,20260717_111052
vistral-7b,vi_gsm8k,vi,Khoan đã,2,100,0.39,-0.085,0.56,334.8,0,True,False,experiments/results/vi_20260717_111052,20260717_111052
vistral-7b,vimmlu,vi,Khoan đã,0,100,0.43,-0.05,0.43,71.0,0,True,False,experiments/results/vi_20260717_133218,20260717_133218
vistral-7b,vimmlu,vi,Khoan đã,1,100,0.2,-0.05,0.43,202.9,0,True,False,experiments/results/vi_20260717_133218,20260717_133218
vistral-7b,vimmlu,vi,Khoan đã,2,100,0.33,-0.05,0.43,290.4,0,True,False,experiments/results/vi_20260717_133218,20260717_133218
vistral-7b,vnhsge,vi,Khoan đã,0,100,0.5,-0.115,0.5,43.9,0,True,False,experiments/results/vi_20260717_150637,20260717_150637
vistral-7b,vnhsge,vi,Khoan đã,1,100,0.16,-0.115,0.5,194.1,0,True,False,experiments/results/vi_20260717_150637,20260717_150637
vistral-7b,vnhsge,vi,Khoan đã,2,100,0.27,-0.115,0.5,288.3,0,True,False,experiments/results/vi_20260717_150637,20260717_150637
